Date,Contract1,Contract2,Contract3,Contract4,Contract5,DailyReturn
2000-01-04,50.73,52.12,53.48,54.8,55.2,
2000-01-05,51.56,52.83,54.1,55.7,56.1,0.016361127537946100
2000-01-06,52.08,53.36,54.7,56.1,56.58,0.010085337470907600
2000-01-07,53.96,55.09,56.37,57.95,58.42,0.03609831029185880
2000-01-10,53.56,54.87,56.1,57.75,58.2,-0.007412898443291290
2000-01-11,54.18,55.56,56.7,58.3,58.99,0.011575802837938700
2000-01-12,53.72,55.1,56.36,58.2,59.19,-0.008490217792543440
2000-01-13,54.75,55.95,57.14,58.6,59.5,0.01917349218168290
2000-01-14,55.12,56.25,57.56,58.7,59.49,0.006757990867579890
2000-01-18,54.76,56.2,57.4,58.43,59.13,-0.006531204644412150
2000-01-19,57.75,59.03,60.1,61.0,61.2,0.05460189919649380
2000-01-20,57.44,58.76,59.78,60.65,61.0,-0.005367965367965360
2000-01-21,56.15,57.38,58.35,59.35,59.66,-0.022458217270194900
2000-01-24,56.35,57.56,58.57,59.3,59.65,0.003561887800534350
2000-01-25,57.86,58.93,59.83,60.5,60.94,0.02679680567879330
2000-01-26,57.42,58.65,59.62,60.4,60.7,-0.0076045627376425400
2000-01-27,57.53,58.82,59.8,60.5,60.98,0.0019157088122605500
2000-01-28,57.45,58.94,59.9,60.6,60.99,-0.0013905788284372900
2000-01-31,57.86,59.28,60.02,60.8,60.8,0.007136640557006140
2000-02-01,57.13,58.53,59.48,60.25,60.6,-0.01261666090563420
2000-02-02,57.04,58.51,59.5,60.33,60.68,-0.0015753544547524300
2000-02-03,56.09,57.72,58.84,59.8,60.42,-0.01665497896213180
2000-02-04,56.08,57.69,58.95,59.5,60.41,-0.00017828489926907700
2000-02-07,56.18,57.84,58.98,59.7,60.45,0.001783166904422370
2000-02-08,55.3,57.08,58.33,59.6,60.0,-0.015663937344250600
2000-02-09,55.8,57.67,58.8,60.1,60.35,0.009041591320072320
2000-02-10,57.54,59.59,60.42,61.25,61.5,0.031182795698924800
2000-02-11,56.97,58.89,60.14,61.1,61.5,-0.009906152241918710
2000-02-14,57.26,59.36,60.52,61.43,61.72,0.005090398455327440
2000-02-15,55.74,57.85,59.17,60.45,60.89,-0.026545581557806400
2000-02-16,55.4,57.63,59.0,60.4,60.8,-0.006099748833871650
2000-02-17,55.47,57.93,59.42,60.83,61.1,0.001263537906137200
2000-02-18,57.09,59.75,61.22,62.2,62.33,0.02920497566252030
2000-02-22,61.17,62.8,62.7,63.0,63.8,0.07146610614818690
2000-02-23,60.65,62.22,62.55,62.85,63.65,-0.008500899133562220
2000-02-24,60.33,61.94,62.5,62.74,63.45,-0.005276174773289340
2000-02-25,58.88,60.62,61.78,61.5,62.2,-0.02403447704293050
2000-02-28,59.59,61.19,61.73,62.04,62.75,0.012058423913043500
2000-02-29,58.53,60.21,60.95,61.24,62.0,-0.017788219499916200
2000-03-01,61.51,62.92,62.75,62.9,63.55,0.05091406116521440
2000-03-02,60.68,62.09,62.05,61.95,62.7,-0.01349374085514540
2000-03-03,61.06,62.43,62.23,62.13,62.88,0.006262359920896630
2000-03-06,61.32,62.59,62.8,62.46,63.21,0.004258106780216100
2000-03-07,61.64,62.84,62.45,62.5,63.38,0.005218525766470970
2000-03-08,62.79,63.92,62.75,62.87,63.82,0.018656716417910300
2000-03-09,63.01,64.11,62.95,62.7,63.65,0.003503742634177300
2000-03-10,63.6,64.8,63.15,62.73,63.65,0.009363593080463420
2000-03-13,63.21,64.4,63.18,62.82,63.9,-0.00613207547169814
2000-03-14,63.36,64.5,64.05,63.73,64.63,0.0023730422401517800
2000-03-15,63.22,64.54,64.5,64.27,65.18,-0.0022095959595960200
2000-03-16,62.54,63.93,63.95,63.91,64.85,-0.010756089844985800
2000-03-17,62.69,64.13,64.0,64.08,64.95,0.0023984649824111400
2000-03-20,61.14,62.54,62.4,62.88,63.8,-0.02472483649704890
2000-03-21,61.38,62.69,62.5,62.78,63.7,0.003925417075564260
2000-03-22,59.86,61.28,60.9,61.7,62.6,-0.024763766699250600
2000-03-23,59.04,60.53,60.4,61.24,62.3,-0.013698630136986400
2000-03-24,58.81,60.36,60.2,61.33,62.3,-0.003895663956639540
2000-03-27,59.21,60.85,60.4,61.3,62.3,0.006801564359802730
2000-03-28,59.15,60.68,60.5,61.3,62.3,-0.0010133423408208400
2000-03-29,57.95,59.47,59.9,60.6,61.63,-0.020287404902789500
2000-03-30,57.57,59.24,59.7,60.36,61.38,-0.006557377049180360
2000-03-31,58.14,60.01,60.72,61.01,62.0,0.00990099009900991
2000-04-03,58.39,60.21,60.65,61.49,62.45,0.004299965600275120
2000-04-04,57.21,59.1,59.7,60.73,61.7,-0.020208939886966900
2000-04-05,56.4,58.4,59.6,60.3,61.3,-0.014158363922391200
2000-04-06,55.68,57.66,59.0,60.16,61.15,-0.012765957446808500
2000-04-07,56.29,58.34,59.35,60.55,61.55,0.010955459770114900
2000-04-10,55.99,58.15,59.03,60.19,61.23,-0.005329543435778960
2000-04-11,54.95,57.16,58.25,59.54,60.6,-0.018574745490266100
2000-04-12,55.75,57.72,58.8,59.89,60.9,0.014558689717925300
2000-04-13,56.82,58.7,59.51,60.4,61.4,0.019192825112107600
2000-04-14,56.43,58.22,58.9,60.09,61.25,-0.006863780359028570
2000-04-17,58.33,59.23,60.08,61.1,61.63,0.03367003367003370
2000-04-18,58.73,59.5,60.28,61.3,61.8,0.006857534716269380
2000-04-19,57.71,58.7,59.23,60.23,60.73,-0.017367614507066100
2000-04-20,57.92,58.85,59.33,60.46,61.0,0.0036388840755501300
2000-04-24,57.59,58.68,59.43,60.45,61.0,-0.005697513812154660
2000-04-25,57.59,58.65,59.16,60.15,60.73,0.0
2000-04-26,57.91,59.05,59.75,60.75,61.35,0.005556520229206270
2000-04-27,57.55,58.75,59.51,60.58,61.14,-0.006216542911414270
2000-04-28,55.81,57.61,58.41,59.8,60.25,-0.030234578627280500
2000-05-01,57.17,58.54,59.45,60.58,61.15,0.02436839276115400
2000-05-02,58.95,60.0,60.5,61.55,62.2,0.031135210774881900
2000-05-03,57.69,59.1,59.71,60.83,61.38,-0.021374045801526800
2000-05-04,57.25,58.35,58.82,60.03,60.65,-0.007626971745536500
2000-05-05,58.86,59.63,59.88,60.99,61.6,0.02812227074235810
2000-05-08,58.46,59.55,59.63,60.73,61.3,-0.006795786612300400
2000-05-09,59.66,60.6,60.71,61.75,62.4,0.020526855969893900
2000-05-10,61.24,61.77,61.77,62.8,63.2,0.026483405967147300
2000-05-11,60.8,61.5,62.01,63.06,63.6,-0.007184846505551960
2000-05-12,62.23,63.1,63.58,64.6,65.15,0.023519736842105200
2000-05-15,62.75,63.56,63.93,64.8,65.35,0.00835609834484985
2000-05-16,62.62,63.47,63.64,64.6,65.15,-0.0020717131474103900
2000-05-17,62.07,63.4,63.64,64.5,65.15,-0.008783136378153870
2000-05-18,62.12,63.43,63.71,64.53,64.55,0.0008055421298533980
2000-05-19,61.3,62.5,62.86,63.91,64.4,-0.013200257566001300
2000-05-22,63.44,64.55,64.72,65.55,65.95,0.03491027732463300
2000-05-23,63.42,64.45,64.98,65.85,66.3,-0.00031525851197977700
2000-05-24,62.73,64.0,64.46,65.31,65.85,-0.010879848628193000
2000-05-25,63.28,64.7,65.3,66.15,66.65,0.008767734736170990
2000-05-26,63.22,65.0,65.5,66.48,67.0,-0.0009481668773704270
2000-05-30,61.01,62.8,63.53,64.55,65.2,-0.03495729199620380
2000-05-31,62.64,64.15,65.03,65.95,66.55,0.026716931650549100
2000-06-01,60.25,62.0,62.78,63.84,64.35,-0.03815453384418900
2000-06-02,58.99,60.8,61.54,62.8,63.3,-0.02091286307053940
2000-06-05,58.67,60.65,61.55,62.75,63.24,-0.005424648245465290
2000-06-06,57.6,59.7,60.88,62.15,62.68,-0.01823760013635590
2000-06-07,58.25,60.68,61.78,62.95,63.55,0.011284722222222100
2000-06-08,58.19,60.73,61.74,62.9,63.55,-0.0010300429184549900
2000-06-09,58.39,60.95,62.22,63.53,64.05,0.003437016669531000
2000-06-12,56.65,59.8,61.06,62.38,63.02,-0.02979962322315470
2000-06-13,56.98,60.5,61.92,63.3,63.8,0.005825242718446640
